index,title,brand,description,initial_price,final_price,availability,reviews_count,categories,top_review
142,"gearit hdmi cable pack ft m highspeed hdmi b, k hz, d, arc, hdcp , hdr, gbps nylon braided cord",gearit,"previous page gearit is a top brand that provides innovative hifi audio equipment for audiophiles and home audio enthusiasts our brand have sold all over the world from professional producers and musicians to diyers weve got all the wires you need to get the perfect home theater setup, or a killer studio with our high quality cables more than million customers later, those principles continue to drive the business shop display cables visit the store audio amp video accessories visit the store how did we get our start gearit was founded in in california by a group of passionate and innovative young entrepreneurs it serves the cable solution and consumer electronics accessory industry, connecting people with technology that will improve their lives what problem are we solving were focused on providing high quality and fine craftsmanship audio and communication accessories to keep your devices powered and connected why do we love what we do we strives to provide our customer with the best consumer and enterprise accessories next page",,15.99,only left in stock order soon,398,electronics television video accessories cables hdmi cables,"the feet cord is sturdy the way the connectors are wired is that when you stretch out the wire, one connector is ""up"" and one is ""down"" the wide part is up on one side and dow at the other end of the cable this orientation works great if you are stacking components with both hdmi sockets oriented the same way, but my two components are side by side a ft cable from another company did not survive the degree twist this shorter cable did survivei am trying to reduce cable clutter with this shorter cable, but for my use it is too short i am very impressed that it didnt fail the longer cable was a good length, but did faili am going to look for something that is oriented the correct way or something to rotate one of the connectors orientationworked good for the set up on my boatjust what i neededthese cables seem very well made, and they work fine my only complaint is that they are very stiff that wouldnt be an issue for a longer cable, but the ones i bought are only foot long and with a length that short, i cant think of an application where they would not need to bend pretty sharply otherwise, they are excellent and i would recommendthis cord was exactly what i wantedarrived on time, perfect length to reach outside tvwe ordered this cable so we could mount and set up our tv over our fireplace the cable was very easy to feed through and works greati have no idea how i ordered this must been late night brother i have no use for it but maybe ill find somebody who willconstantemente tiene interferencia entre la laptop y la pantallame gusto, no es tan rgido, pero no es para nada super flexible, es un punto intermedio bien para cuidar los puertos de la lap"
143,"glow in the dark glitter, seisso bottles luminous glitter with uv flashlight set, gbottle chunky glitter powder for resin arts crafts, body face nail glitter, tumbler slime glitter",seisso,"seisso colors glow in the dark glitter set colors glowing glitter includes lightgreen, wheat, tamato, deepskyblue, orange, indianred, limegreen, dodgerblue, mistyrose, palegreen seisso glow in the dark glitter package include luminous chunky glitter uv flashlightwithout battery high luminous color glitter set consists of different sized hexagon sequins for a natural shimmering effect easy to clean the glitter is safe for your skin and easy to clean you just need water or a piece of damp cloth to wipe it specifications beautiful package g oz each bottle particle sizes each color with uv flashlight colors luminous chunky glitter read more read more wide applications of glowinthedark glitter bright glow glitter for crafts the glowing chunky glitter can be used in epoxy resin to create resin jewelry, resin key chains, resin ashtray, coasters, festival ornaments, home decors, and other resin crafts sparkly glitter for beauty these iridescent glitter powder can apply to your hair, face, body, nails, making you shine in the crowd chunky glitter for diy project these sequins can also be used to slime, glitter tumbler, embossing, fancy ornaments, greeting cards, postcards, poster decoration, and school art courses, or any other infinite imagination ways read more warm tips due to the glitter full fill the bottle, dont pour down the bottle before opening please tighten the cap after use, prevent accidental pour down or forth due to the different proportions of chunky and fine glitter in each color, the weight of different colors will be slightly different due to the weight of chunky glitter, it will sink to the bottom when you mix it into epoxy resin read more",,20.98,only left in stock order soon,3603,arts crafts sewing painting drawing art supplies painting paint making materials,"didnt think that these colors were able to light up in sunlight but they do and its beautiful i bought glow in the dark acrylic paint and it doesnt even touch the brightness that these colors have the only down part is that the purple isnt as bright as the other colors but indeed buy again nice grouping of colors in the pack when mixed into a gloss varnish, it spread easily with a standard brush and had good luminosity when allowed to charge up for a whilei use this luminescent powder as as additive to resin to highlight cast projects i have also used it as an underlayer for items embedded in resin and turned wooden bowls to highlight the embedded items makes for fun projectsthe colors are beautiful and unexpectedme gust el producto, me hubiera gustado que durara ms el brillo en la oscuridadi was amazed i didnt think they would glow anywhere near as bright as they didthis product surprised mehad to add more than i expected but was awsomei havent used them yet, i want to use them painting specific automotive products"
144,"champion mens heritage tee, fashion retired colors",champion,"the vintage style you know, with the modern vibes you love embrace the rich heritage and quality of champions heavyweight cotton tee for sport or street wear this classic jersey tee will become a basic to rely on however you wear it the jersey is soft and comforting, a substantial oz weight that starts off soft and just gets softer with every washing the shape is slightly relaxed for effortless mobility this substantial cotton tshirt is made to last, with doubleneedle stitching at the seams and reinforced taping at the shoulder seams to hold the shape finishing touches are the iconic c logo, embroidered on the chest and appliqud at the left cuff to celebrate the champion brand",,22.42,only left in stock order soon,2609,clothing shoes jewelry men clothing active active shirts tees tshirts,the neck is way too small and its meant for a very slim person i bought this for my son and hes pretty slim but it was still too tight but fit his length
145,"wellness core natural grain free small breed mini meals wet dog food, chunky chicken tuna dinner in gravy, ounce pouch pack of",wellness,"from the manufacturer aplusv displayblock marginleftauto marginrightauto wordwrap breakword overflowwrap breakword wordbreak breakword undo this for techspecs because it breaks table layout aplusv aplusstandard aplustechspectable wordbreak initial aplusv aplusstandard aplusmodulewrapper textaligninherit displayblock marginrightautomarginleftauto aplusv aplusstandardaplusmodulemodule, aplusv aplusstandardaplusmodulemodule, aplusv aplusstandardaplusmodulemodule, aplusv aplusstandardaplusmodulemodule, aplusv aplusstandardaplusmodulemodule, aplusv aplusstandardaplusmodulemodule, aplusv aplusstandardaplusmodulemodule, aplusv aplusstandardaplusmodulemodule, aplusv aplusstandardaplusmodulemodule, aplusv aplusstandardaplusmodulemodule, aplusv aplusstandardaplusmodulemodulepaddingbottompx marginbottompx aplusv aplusstandardaplusmodulelastchildborderbottomnone aplusv aplusstandardaplusmodule minwidthpx aplus css needed to override aui on the detail page aplusv aplusstandardaplusmodule tableapluschartaborderedaverticalstripes bordernone aplusv aplusstandardaplusmodule tableapluschartaborderedaverticalstripes td backgroundnone aplusv aplusstandardaplusmodule tableapluschartaborderedaverticalstripes tdselected backgroundcolorffd aplusv aplusstandardaplusmodule tableapluschartaborderedaverticalstripes tdfirstchild backgroundfff fontweightbold aplusv aplusstandardaplusmodule tableapluschartaborderedaverticalstripes tr th backgroundnone borderrightnone aplusv aplusstandardaplusmodule tableapluschartabordered tr td,aplusv aplusstandard aplusmodule tableapluschartabordered tr th borderbottompx dotted a template general module css aplusv aplusstandard apmtop height verticalaligntop htmldirrtl aplusv aplusstandard apmtop paddingleft px paddingright px aplusv aplusstandard apmcenter height verticalalignmiddle textaligncenter aplusv aplusstandard apmrow width displayinlineblock aplusv aplusstandard apmwrap width aplusv aplusstandard apmfixedwidth widthpx aplusv aplusstandard apmfloatleft floatleft htmldirrtl aplusv aplusstandard apmfloatleft floatright aplusv aplusstandard apmfloatright floatright htmldirrtl aplusv aplusstandard apmfloatright floatleft aplusv aplusstandard apmfloatnone floatnone aplusv aplusstandard apmspacing img bordernone aplusv aplusstandard apmleftimage floatleft displayblock marginrightpx marginbottompxwidth px htmldirrtl aplusv aplusstandard apmleftimage float right marginright px marginleftpx aplusv aplusstandard apmcenterimage textalign center widthpx displayblock marginbottompx aplusv aplusstandard apmcenterthirdcol minwidthpx displayblock aplusv aplusstandard apmcenterthirdcol ul, aplusv aplusstandard apmcenterthirdcol ol marginleft px htmldirrtl aplusv aplusstandard apmcenterthirdcol ul, htmldirrtl aplusv aplusstandard apmcenterthirdcol ol marginleft px marginright px aplusv aplusstandard apmrightthirdcol floatright widthpx paddingleftpx marginleftpx borderleftpx solid dddddd htmldirrtl aplusv aplusstandard apmrightthirdcol float left paddingleft px paddingrightpx marginleftpx marginrightpx borderleftpx borderrightpx solid dddddd aplusv aplusstandard apmlefttwothirdswrap widthpx displayblock aplusv aplusstandard apmlefthalfcol widthpx paddingrightpx displayblock floatleft htmldirrtl aplusv aplusstandard apmlefthalfcol paddingleftpx floatright aplusv aplusstandard apmrighthalfcol widthpx displayblock floatleft htmldirrtl aplusv aplusstandard apmrighthalfcol floatright aplusv aplusstandard apmeventhirdcol widthpx displayblock aplusv aplusstandard apmeventhirdcoltable borderspacing px px bordercollapse collapse aplusv aplusstandard apmeventhirdcoltable tr td verticalalign top aplusv aplusstandard apmfourthcol widthpx floatleft htmldirrtl aplusv aplusstandard apmfourthcol floatright aplusv aplusstandard apmfourthcol apmfourthcolimage positionrelative aplusv aplusstandard apmfourthcol img displayblock margin auto aplusv aplusstandard apmfourthcoltable borderspacing px px bordercollapse collapse aplusv aplusstandard apmfourthcoltable tr td verticalalign top aplusv aplusstandard apmlistbox width aplusv aplusstandard apmiconheader floatleft paddingleftpx htmldirrtl aplusv aplusstandard apmiconheader floatright paddingleftpx paddingright px aplusv aplusstandard apmspacing ullastchild,aplusv aplusstandard ollastchild marginbottom important aplusv aplusstandard apmspacing ul,aplusv aplusstandard ol padding important aplusv aplusstandard apmspacing ul margin px px important htmldirrtl aplusv aplusstandard apmspacing ul margin px px important aplusv aplusstandard apmspacing ul li,aplusv aplusstandard ol li wordwrapbreakword margin important aplusv aplusstandard apmspacing ul li margin important a template module sepcific css aplusv aplusstandard ampcenterthirdcollistbox displayinlineblock widthpx a template module specific css aplusv aplusstandard apmsidemodule textalignleft margin auto widthpx padding backgroundcolorffffff positionrelative aplusv aplusstandard apmsidemodule textaligninherit aplusv aplusstandard apmsidemoduletextright positionrelative displaytablecell verticalalignmiddle paddingleftpx heightpx maxheightpx htmldirrtl aplusv aplusstandard apmsidemoduletextright paddingleftpx paddingright px aplusv aplusstandard apmsidemoduletextleft positionrelative displaytablecell verticalalignmiddle heightpx maxheightpx htmldirrtl aplusv aplusstandard apmsidemoduletextleft paddingleftpx aplusv aplusstandard apmsidemoduleimageleft positionrelative floatleft displayblock htmldirrtl aplusv aplusstandard apmsidemoduleimageleft floatright aplusv aplusstandard apmsidemoduleimageright positionrelative floatright displayblock htmldirrtl aplusv aplusstandard apmsidemoduleimageright floatleft a template module specific css aplusv aplusstandardaplusmodulemodule th padding px paddingrightpx widthpx htmldirrtl aplusv aplusstandardaplusmodulemodule th paddingleft px paddingright px aplusv aplusstandardaplusmodulemodule thlastoftype paddingrightpx htmldirrtl aplusv aplusstandardaplusmodulemodule thlastoftype paddingleft px a template module specific css aplusv aplusstandard apmtablemodule textalignleft margin auto widthpx displaytable aplusv aplusstandard tableapmtablemoduletable borderbottompx solid dddddd width px lefttablelayout fixed aplusv aplusstandard thapmtablemodulekeyhead bordertoppx solid dddddd paddingpx px px important backgroundcolorfff fontweightnormal color floatnone important marginright textaligncenter widthpx aplusv aplusstandard trapmtablemodulekeyvalue td paddingtoppx important paddingleftpx paddingbottompx bordertoppx solid dddddd borderbottompx solid dddddd textaligncenterwidthinheritimportant aplusv aplusstandard apmtablemodulevaluecellselected backgroundcolorfffec aplusv aplusstandard apmtablemodulevaluecell span wordwrapbreakword aplusv aplusstandard apmtablemodulekeyhead borderrightpx solid dddddd aplusv aplusstandard apmtablemoduleblankkeyhead border important width aplusv aplusstandard apmtablemoduleimage backgroundcolorffffff padding important textaligncenter overflowhidden verticalalignbottom aplusv aplusstandard apmtablemoduleimagerows td img maxwidthnone important aplusv aplusstandard tableapmtablemoduletable marginbottom pximportant aplusv aplusstandard tableapmtablemoduletable th paddingbottompx textaligncenter aplusv aplusstandard apmchecked textaligncenter a template module specific css aplusv aplusstandard apmhovermodule textalignleft margin auto widthpx padding backgroundcolorffffff positionrelative aplusv aplusstandard apmhovermodule textaligninherit aplusv aplusstandard apmhovermoduleslides backgroundcolorffffff widthpx heightpx aplusv aplusstandard apmhovermoduleslidesinner marginleftpx positionabsolute zindex htmldirrtl aplusv aplusstandard apmhovermoduleslidesinner marginleftpx marginrightpx aplusv aplusstandard apmhovermoduleslidecontrol paddingtop px htmldirrtl aplusv aplusstandard apmhovermoduleslidecontrol left px rightpx aplusv aplusstandard apmhovermodulesmallimage verticalaligntop display inlineblock widthpx cursorpointer marginrightpx padding htmldirrtl aplusv aplusstandard apmhovermodulesmallimage marginrightpx marginleftpx aplusv aplusstandard apmhovermodulesmallimagebg backgroundcolorffffff widthpx heightpx aplusv aplusstandard apmhovermodulesmallimagelast marginright important htmldirrtl aplusv aplusstandard apmhovermodulesmallimagelast marginleft important aplusv aplusstandard apmhovermodulesmallimage a texttransformuppercase fontsizepx fontweightbold aplusv aplusstandard apmhovermodulesmallimage ahover textdecorationnone color important aplusv aplusstandard apmhovermodulesmallimage img borderpx solid aplusv aplusstandard apmhovermoduleopacitymodonhover opacity important filteralphaopacity important aplusv aplusstandard apmhovermoduleopacitymodon img opacity filteralphaopacity aplusv aplusstandard apmhovermoduleimage positionabsolute left zindex htmldirrtl aplusv aplusstandard apmhovermoduleimage right a template module specific css aplusv aplusstandardaplusmodulemodule thapmcenter padding px widthpx htmldirrtl aplusv aplusstandardaplusmodulemodule thapmcenter padding px widthpx aplusv aplusstandardaplusmodulemodule thapmcenterlastoftype paddingpx a template module specific css aplusv aplusstandard apmheromoduletextright alignselfcenter rightpx marginleftauto paddingpx filter progiddximagetransformmicrosoftgradientstartcolorstrbbbbbb,endcolorstrffffff backgroundcolor rgb,, backgroundcolorrgba,,,colorwhite widthpx htmldirrtl aplusv aplusstandard apmheromoduletextright left px rightauto marginleft marginrightauto aplusv aplusstandard apmheromoduletextright h, aplusv aplusstandard apmheromoduletextright ul, aplusv aplusstandard apmheromoduletextright ol, aplusv aplusstandard apmheromoduletextright ul alistitem, aplusv aplusstandard apmheromoduletextright ol alistitem colorwhite aplusv aplusstandardmodule textright alignselfcenter rightpx marginleftauto paddingpx colorblack widthpx filter progiddximagetransformmicrosoftgradientstartcolorstrbbbbbb,endcolorstrffffff backgroundcolor rgb,, backgroundcolorrgba,,, htmldirrtl aplusv aplusstandardmodule textright left px rightauto marginleft marginrightauto aplusv aplusstandardmodule apmheroimage,aplusv aplusstandardmodule apmheroimagefloatnone aplusv aplusstandardmodule apmheroimage img,aplusv aplusstandardmodule apmheroimage imgpositionabsolute aplusv aplusstandardmodule apmherotext,aplusv aplusstandardmodule apmherotextpositionrelative aplusv aplusstandardmodule aplusmodulecontent,aplusv aplusstandardmodule aplusmodulecontentminheightpx display flex module text aplusv aplusstandard aplusmodule padding px maxwidth px aplusv aplusstandard aplusmodule aplusheadingtext paddingbottom px aplusv aplusstandard aplusmodule p textalign left paddingbottom px aplusv aplusstandard aplusmodule p textalign inherit media maxwidth px main media queries aplusv aplusstandard acsuxwrapfix width aplusv aplusstandard aplusmodulewrapper width aplusv aplusstandard apmleftimage floatnone htmldirrtl aplusv aplusstandard acsuxwrapfix width htmldirrtl aplusv aplusstandard aplusmodulewrapper width htmldirrtl aplusv aplusstandard apmleftimage floatnone aplusv aplusstandard apmcenterthirdcol ul, aplusv aplusstandard apmcenterthirdcol ol marginleft px htmldirrtl aplusv aplusstandard apmcenterthirdcol ul, htmldirrtl aplusv aplusstandard apmcenterthirdcol ol marginleft px marginright px module media queries aplusv aplusstandard apmlefttwothirdswrap floatnone width margin aplusv aplusstandard apmleftimage p displaynone aplusv aplusstandard apmcenterthirdcol floatnone width aplusv aplusstandard apmlistbox width aplusv aplusstandard apmrightthirdcol floatnone width borderleftnone padding margin marginbottompx aplusv aplusstandard apmrightthirdcolinner img displayblock marginauto htmldirrtl aplusv aplusstandard apmlefttwothirdswrap floatnone width margin htmldirrtl aplusv aplusstandard apmleftimage p displaynone htmldirrtl aplusv aplusstandard apmcenterthirdcol floatnone width htmldirrtl aplusv aplusstandard apmlistbox width htmldirrtl aplusv aplusstandard apmrightthirdcol floatnone width borderleftnone padding margin marginbottompx htmldirrtl aplusv aplusstandard apmrightthirdcolinner img displayblock marginauto module media queries aplusv aplusstandard apmsidemodule width heightauto aplusv aplusstandard apmsidemoduleimageleft width positionrelative displayblock marginbottompx aplusv aplusstandard apmsidemoduleimageleft img displayblock margin auto aplusv aplusstandard apmsidemoduleimageright width positionrelative displayblock marginbottompx aplusv aplusstandard apmsidemoduleimageright img displayblock margin auto aplusv aplusstandard apmsidemodule aspacingmedium marginbottompx important htmldirrtl aplusv aplusstandard apmsidemodule width heightauto htmldirrtl aplusv aplusstandard apmsidemoduleimageleft width positionrelative displayblock marginbottompx htmldirrtl aplusv aplusstandard apmsidemoduleimageleft img displayblock margin auto htmldirrtl aplusv aplusstandard apmsidemoduleimageright width positionrelative displayblock marginbottompx htmldirrtl aplusv aplusstandard apmsidemoduleimageright img displayblock margin auto htmldirrtl aplusv aplusstandard apmsidemodule aspacingmedium marginbottompx important module media queries aplusv aplusstandard apmfourthcol margin paddingbottompx width floatnone aplusv aplusstandard apmfourthcol apmfourthcolimage heightinherit htmldirrtl aplusv aplusstandard apmfourthcol margin paddingbottompx width floatnone htmldirrtl aplusv aplusstandard apmfourthcol apmfourthcolimage heightinherit module media queries aplusv aplusstandard tableapmtablemoduletable width aplusv aplusstandard apmtablemodulevaluecell widthauto htmldirrtl aplusv aplusstandard tableapmtablemoduletable width htmldirrtl aplusv aplusstandard apmtablemodulevaluecell widthauto aui hack aplusv aplusstandard mozboxsizing borderboxwebkitboxsizing borderboxboxsizing borderbox aplusv aplusstandard abox mpcenterthirdcollistboxer webkitborderradius pxmozborderradius pxborderradius pxposition relativepadding px px aplusv aplusstandard abox display blockwebkitborderradius pxmozborderradius pxborderradius pxborder px ddd solidbackgroundcolor white aplusv aplusstandard acoloralternatebackground backgroundcolor fffimportant aplusv aplusstandard asection marginbottom px aplusv aplusstandard asizebase fontsize pximportantlineheight pximportant aplusv aplusstandard aspacingbase, aplusv aplusstandard aws awsspacingbase marginbottom pximportant aplusv aplusstandard aspacinglarge, aplusv aplusstandard aws awsspacinglarge marginbottom pximportant aplusv aplusstandard aspacingmini, aplusv aplusstandard aws awsspacingmini marginbottom pximportant aplusv aplusstandard aspacingsmall, aplusv aplusstandard aws awsspacingsmall marginbottom pximportant aplusv aplusstandard a, aplusv aplusstandard avisited, aplusv aplusstandard aactive, aplusv aplusstandard alink textdecoration none aplusv aplusstandard ahover textdecoration underlinecursor pointer aplusv aplusstandard h, aplusv aplusstandard h, aplusv aplusstandard h, aplusv aplusstandard h fontfamily arial,sansseriftextrendering optimizelegibilitypaddingbottom px aplusv aplusstandard h, aplusv aplusstandard h, aplusv aplusstandard h, aplusv aplusstandard h fontfamily inherit aplusv aplusstandard h, aplusv aplusstandard h, aplusv aplusstandard h, aplusv aplusstandard h, aplusv aplusstandard h, aplusv aplusstandard h padding margin aplusv aplusstandard hfontweight boldfontsize pxlineheight aplusv aplusstandard h fontweight normalfontsize pxlineheight aplusv aplusstandard h fontweight boldfontsize pxlineheight px aplusv aplusstandard img verticalalign topmaxwidth aplusv aplusstandard p padding margin px aplusv aplusstandard ul li liststyle disc aplusv aplusstandard ul margin px px aplusv aplusstandard ul, aplusv aplusstandard ol padding aplusv aplusstandard ullastchild, aplusv aplusstandard ollastchild marginbottom important aplusv aplusstandard readmorearrowplaceholder textalign right cursor pointer displaynone ifp pwhen""aexpander"", ""ready""executefunction expander expanderinitializeexpanders wholebody health complete amp balanced nutrition to support wholebody health readymade nutrition quick, easy and convenient meals that help support your dogs overall wellbeing mighty tasty highquality protein makes it irresistible to picky eaters mix amp match keep your dog happy every day with a variety of flavors and textures highprotein kibble combined with raw meat highly digestible, probioticcoated kibble grainfree, highprotein kibble highprotein, grainfree kibble combined with raw meat complete amp balanced meals and mixers protein packed pouches just for your small dog now in a variety pack grain free high protein lifestagespecific recipes available puppy, adult adult, all life stages puppy, adult puppy, adult all life stages all life stages",23.88,22.8,in stock,2182,pet supplies dogs food wet pouches,"this is the readymade meals i choose to have on hand for emergencies because i respect this company, researched the ingredients and my dog will eat it if i sprinkle a little salmon on it in fact it is the only one that is packaged, except for the best freezedried chicken, that he will eat i cook healthy food that benefits my dogs health so if he sees a package and food comes out he goes to his sanctuary corner he taught me to be very sneaky but he had an agressive cancer years ago at years old when i rescued him and he still has it and he is still with me he is strong and wants to live as a victim of a dogfighting demon group he didnt even know grass or toys or decent food or the absense of pain, not even a kind word a tiny chi, they swung him tied tightly under his legs over the fighting pit to get the poor captive dogs excited his joints are damaged most of his teeth gone bad diet and cancer and fears unimaginable please report any signs or knowledge of dog abuse especially criminal acts including vicious, sick vids pleasei will do anything my sweetest ""best companion in the world"" brave dog needsremission a god whisper"
146,"sterilite cake server seethrough lid, white base, pack",sterilite,"the sterilite cake server is designed to store, transport and serve cakes and desserts for special occasions and parties this circular cake serving container features an easytoclean surface and is perfect for taking your favorite desserts and baked treats onthego the tightclasping latches hold the lid securely to the base to maintain freshness, and a handle on the lid allows for comfortable carrying to ensure dependable transportation this server accommodates a "" round cake and is bpafree and phthalatefree to ensure your stored foods are fresh, safe and healthy for you and your party guests to enjoy the overall assembled dimensions of this item are "" l x "" w x "" h",45.99,40.79,in stock,197,home kitchen kitchen dining dining entertaining flatware servers cake pie pastry servers,"ive been a professional baker for decades, and ive never used a more welldesigned and crafted piecake carrier the seal is secure, cleanup is a cinch, they stack securely, theyre durable, and theyre comfortable to tote if you use them only occasionally, the tops can be staked separately from the bottoms to save spacetrue story i was delivering a fresh strawberry pie and stumbled the pie carrier landed on its side and rolled about four or five meters on its side i was able to save the pie it was for a church social, not for sale with a little strategically piped whipped cream and no one was the wiser had the carried not been secure, it would have been ""byebye, strawberry pie""its a considerable savings to purchase four at a time, but they make great gifts for bakers if four is too much for you also, i find them great for storage during the christmas season the seal is quite occlusive i use them to store christollen and fruitcakes among other productsif i sound a bit hard sell on this item, its because ive had such great success with it i have purchased it repeatedly not because theyve worn out, but because they havent and ive found more and more uses for this item, or else i give them as giftsfor those who like to know where aitems are manufactured this product is made in the united states"
147,"cargen beeswax furniture polish, wood seasoning beeswax for furniture wood wax for dining table floor doors chairs cabinets to protect and care pcs beeswax polish and pcs sponges",waxsetpcs,"about this item furniture care bring dull furniture back to life with beeswax furniture polish removes years of wax and dirt buildup to restore the look of your old furniture and enhance the natural beauty and depth of grain in finished and unfinished woodthis wood polish creates a protective seal to keep out any odor, stain, moisture and anything else that causes damage to your furniture keep furniture wood permanently as new and naturally bright all natural ingredients this wood seasoning beeswax for furniture polish is made entirely from natural beeswax there is no gmos, no paraffins and no mystery ingredients in our woowlish beeswax, safe and healthy beeswax exudes a light natural honey smell, which makes people feel enjoy easy and safe to use the bees waxing furniture polish works to remove grease, grime, and dirt from painted surfaces safe to use on beeswax furniture and treated wood cleans and polishes wood floors as well simply aim, smear and wipe the wood seasoning beeswax to watch years of buildup disappear before your eyes, which will bring furniture back to life gives your wooden furniture an elegant shine and smooth finishing offers good durability and restore the natural beauty of the wood multiple uses allpurpose wood restoration beeswax not only cleans and polishes your wood furniture, but also polishes teak, antique or modern furniture, tables, desks, chairs, flooring, benches and more what you get x beeswax, x sponges this beewax wood polish is backed by a guarantee if you are unsatisfied with your natural wood wax, please feel free to contact us for money back or free exchange",10.99,9.99,in stock,12970,health household household supplies household cleaning wood polish care wood polish,"i didnt think to take before pics but i took a pic of my table before when i had a runner sitting on it so i did an after the same for comparison purposes this table has had a round mark on it upper right since it was delivered from the furniture movers using the round pressure grabber i didnt think anything would take that mark away the wood is years old reclaimed from a torn down building in the uk i was nervous using this since the wood is unprotected, but it turned out great grandkids eat at the table with no issues now the only thing i did differently from the directions was i left it on overnight before i buffed out easy to apply"
148,"beukei pack compatible for ans artia screen protector tempered glass touch sensitive,case friendly, h hardness,for ans artia ack screen protector",beukei,"compatible phone models ans artia colortransparent packaging contents x tempered glass screen protector x dust cloth x wet wipes x dust removal stick feature d round edgedesigned with less coverage on the edge of the film and does not interfere with the case highly response with accuracy h hardness antiscratch, antiscreen breakage, good impact resistance antifingerprint coating, no fingerprints, keep the screen clean bubblesfrees, the bubbles will disappear within hours how to install step after washing your hands, perposition the screen protector to the device adhesive side downward step clean the screen of your device with wet wipes, then clear the left liquid with microfiber cloth step clean the dust on the screen with blue dustabsorb step peel off the protective film from the glass screen protector step press the center of the glass screen protector and the adhesive will apply itself step remove tiny bubbles by gently pushing outwards from the center allow hours for smaller bubbles to fully disappear lifetime replacement warranty beukei provides you a friendly customer service if you have any dissatisfaction with our products , replacements will be resent for you without any charge",7.99,6.85,in stock,6,cell phones accessories accessories maintenance upkeep repairs screen protectors,"expected this to cover the whole front of the phone line my other tempered glass protectors this is recommended for this phone when searching the model number, but does not cover the original glass"
149,"world of eric carle brown bear, brown bear, what do you see bilingual learning cards english and spanish, ct",carson dellosa education,"grades pk master prekindergarten, kindergarten, first, and second grade skills with learning cards maximize learning, retention, ace tests and quizzes this bilingual flash card set is also great for spanish language learners of all ages, included teens and adults includes the brown bear, brown bear, what do you see learning cards set has activity guides and cards to help students retell this story and to learn colors with new vocabularyin spanish too test prep necessity studying with learning cards increases concentration and improves recall learning cards are a tried and true way to study successfully these are a great supplement to workbooks, worksheets, and study lessons homeschool helper use these in the classroom or at home regardless of your homeschool curriculum, flash cards and learning cards are a perfect addition to homeschool supplies learning tools kids vibrant colors and wellloved figures from the imagination of eric carle will brighten and enliven any classroom these can be used as review cards or for creative games that allow children to play and learn flash cards also allow children to develop thinking, decisionmaking, turntaking, and social skills",,11.02,only left in stock more on the way,22,office products office school supplies education crafts early childhood education materials,"stars because the start doesnt show its reviewsthe cards look great but they give you several sheets of unlaminated materials that you have to cut and laminate yourself the cards are hardly durable for a classroom unless laminated properlyi was looking for actual flash cards because my year old class likes to peel laminated work apart like they are peeling stickers so now i spent money to have laminated work for them to destroy instead of making my ownstudents loved this interactive resource we had a lot of fun using this resource in spanish at the high school level i used it to have students read and sequence story i taught animals, colors, masculine nouns, feminine nouns, singular nouns, and plural nouns i just guided learning and watchedi love it my year old loves it shes learning colors and names of the animals faster than reading the book"
150,"wow pods minions rise of gru otto jetpack rc flying ball, interactive mini remote controlled helicopter toy for kids ages",wow stuff,"the latest innovation from wow stuff has just taken off have hours of fun flying the minions otto helicopter rc fly otto with his jetpack just like in the minions movie designed to be lightweight and easy to control with patented sensor technology, this creates fun and excitement for boys, girls, teenagers and the rest of the family even adults can have fun the officially licensed merchandise from the film franchise will make a great novelty gift for birthdays, christmas or any special occasion",27.99,25.99,in stock,92,toys games remote app controlled vehicles parts remote app controlled vehicles helicopters,"we got this for my kids and they love playing with it the remote control uses a r battery and the toy itself has a rechargeable battery, it does come with a usb charging cable the battery last a long time"
151,"pelvic floor muscle and inner thigh master kegel exerciser toner for women and man, leg workout exercise equipment device hips pelvis buttock trainer abductor machine kegal excersize toner",aiyazhi,"thigh shaper, glutes workout equipment, dilators for pelvic floor strengthening device women",19.98,19.98,in stock,787,sports outdoors exercise fitness strength training equipment strength training devices thigh hip strengtheners,"man, i went to push something on the floor with my foot the other day a simple step out then sweeping motion bringing my leg back in to push whatever it was toward me, and i felt a painful twinge in my inner thigh i dont want to bulk up or slim down, i just need something to keep my adductors from atrophying into complete uselessness i can use this thing at my desk while im working, hopefully thats enough to stave off the inevitable deterioration of my human form for a little while"
152,"ruger austrian wafers strawberry, ounce pack of",ruger,"ruger strawberry austrian wafers are americas bestselling premium wafers since these chocolate wafers are made by combining old world recipes with modern state of the art technology each and every bite is always perfectly crisp and delicious the cream is aerated to provide the perfect delivery of flavor and the sustainable oils melt at body temperature so that each bite leaves you wanting more ruger unlike other wafers, ruger never leaves a greasy aftertaste ruger wafers are packaged in heavy gauge foil film ruger has an month shelf life guaranteeing oven freshness with every bite ruger is music to your mouth",23.62,19.6,in stock,1161,grocery gourmet food breads bakery cookies wafers,"if you are a fan of sugar wagers, and if you have noticed that the brands we all used to buy simply dont taste as good as they used to, then i recommend these sweet of course and flaky and without that sort of odd aftertaste that most sugar wafers seem to have these days are they higher quality yes, my palate says they are most enjoyable and i try not to binge on a whole packet, which is challenging"
